"HolderAddress","Balance","PendingBalanceUpdate"
"0x7b987589c8b7453c9f832ff2e15a2fb1c1549817","2333.16783406075","No"
"0x5bc4ff33f86e0272be53fa25861294489ab2fe2a","60431702034.5338","No"
"0xc4fde213322ae0853e7ae386050631b64a7caa02","252925384.25766","No"
"0x13eb6024714d87f759a8a51f08fe6d76c4c01374","9670251","No"
"0xe5c713540500a9702cf62637a3dea58e804cc50a","19340502","No"
"0xa920a36cceb90d729f125b24b874dee590e864b9","148963567.630874","No"
"0x34174d97c8476e46bb7f2c1cacd24e27f1bd5e24","307211051","No"
"0xf64011d202da3369ee68ce00698ba6dadd709cc8","5315520000","No"
"0x4a4651320346a136e7573b1fafad09fda848b9ff","9670251","No"
"0x10218ea22b4831bd9b62194a2583719db08026d9","997549949.361791","No"
"0xa609e954d41ae0b92c5ef0c8e0303fef8b790668","26593190","No"
"0xbfa49620d843435ba3ffbf49d825f38b36474d34","0.121109935502535","No"
"0x169a06ac36a1bc3ae7e2ff8547c3370c54e7a867","14505377","No"
"0x31af24b4e0d94a5ee11a780458a78b738a98c1b6","409943111.095471","No"
"0xb326ac26cc46d1944e8f5763be839f4c8d7f4402","7800000000","No"
"0xb52882b0f5e45a73d3036a021d2d5138403c320f","1163279706.04774","No"
"0xaf240dd5a870fa30417758881e1cb4dc104ced7a","39069937.4277977","No"
"0x0f6bc77e160924e4cd36d7c6fa77306c7c35820d","9670251","No"
"0xebe2b35c02be89f50933897713443ada90256a9c","9670251","No"
"0x59b3f3f73489c16746f61a0a179a1577146f6e56","14505377","No"
"0x93cd8c25e3a8befb52241968d69d868bb639b6a3","14505377","No"
"0x2f91f048e5808091b42f8001f1dcc1fc8d891f5a","4076540179.52459","No"
"0xbef6afdb5c384abe46773939c7cf5775ff15e9be","9670251","No"
"0x107e8d19102b58f182b0a81cf7c722419c20343c","1692709111.37686","No"
"0x842822d6a61a666a1e115b02838baa26c53b6091","9670251","No"
"0xea91b4769e94c1e4311f5d35f2ab7dd856d49374","14505377","No"
"0x7abb8aad09f088f6b85f7c3b3e760ab567468129","9670251","No"
"0x2397dcaf3ce17062733930f6aed5d4048245dbb7","2215618840.75117","No"
"0x33515a1ccb01432a7924f827d699217bb5624fa8","25373477","No"
"0xcb42a1baa9e84866675182ba1e584f3c5274ea03","16922939","No"
"0x0d8589a6a061c7e854c2fe7f1a57027982d9163f","16922939","No"
"0x7f687f7dd4834ca9a825a22fb7ccd4cff207b993","9670251","No"
"0x3a52a9aa22514aa39f80486a76c8bedb8671f02b","9670251","No"
"0xc0c62b5df0f2b7bfae72e9976d97d6338f876cff","9670251","No"
"0xd0ce1359deddfb4ec9d9db1ba27257da8e70ead4","366434735.047308","No"
"0x5f4e7e42d7c9e61f2286cc089ed830c941e58b49","9670251","No"
"0x2530c6948dbe18e3a043680fb4b731906fb857f4","1044002329.46908","No"
"0xbf98fecf1a04a4962dd7741693cfe48a172176ab","9670251","No"
"0xe70359d5e14b23f29ec267b7874d154d885b085c","29241577","No"
"0xe9b8a363e0ce03cc5f11758af8fa70b18c834907","13505377","No"
"0x15a5ce7d5340cf9aa51f5b4cc097ec821149a2d4","0.88366254724723","No"
"0x5ff1deee8b3d3b85077cc17c1048fd8bd2a98698","9670251","No"
"0x3a3904da9e972494e71869ecf03950b8a92db1d5","14505377","No"
"0x54287512c9c44505f43d2a022f19b10d9cedd3aa","16922939","No"
"0xd7645cb77e850570a53fdd7903363e6c0f6aa8ed","9670251","No"
"0xe9fc586076dd22202672b8caf5e95c8d00ad6036","9670251","No"
"0x49d74eaa80d5233d081bce9500f965e390764884","30522939","No"
"0x4d68e8623c6bca3bb21eda79a42b0919faf4b708","14505377","No"
"0x4874e8166dbff69e72f0441f0e86ae7236235c60","18160196563.197","No"
"0xa5819c89db224a544f2ad4027b0771fc738235c4","9670251","No"
"0x35141bc1da847c9788153799bad713b1965851a9","9670251","No"
"0xac2be99d4479b97bc0895a1aa6e499e90007342c","19340502","No"
